timestamp,total,tcp,udp,icmp,avg_size,unique_ports,prediction,risk,attack_type,reason,victim_ip,attacker_ip,attacker_location,attacker_organization,victim_location,victim_organization
2026-02-08 17:15:40,20,0,16,0,158.1,9,0,Low,Normal,Traffic within normal baseline,10.106.232.255,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:15:58,20,0,17,0,94.85,6,0,Low,Normal,Traffic within normal baseline,10.106.232.125,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:16:13,20,0,19,0,138.4,10,0,Low,Normal,Traffic within normal baseline,10.106.232.125,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:16:31,20,0,20,0,137.35,12,0,Low,Normal,Traffic within normal baseline,10.106.232.47,10.106.232.125,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:16:47,20,12,8,0,309.55,5,1,High,Unknown Anomaly,Traffic pattern deviates from baseline,34.117.59.81,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: Kansas City, Missouri, US",ISP/Org: AS396982 Google LLC
2026-02-08 17:17:03,20,8,12,0,282.35,11,1,High,Unknown Anomaly,Traffic pattern deviates from baseline,10.106.232.47,52.167.249.196,"Location: Boydton, Virginia, US",ISP/Org: AS8075 Microsoft Corporation,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:17:18,20,16,4,0,387.5,5,0,Low,Normal,Traffic within normal baseline,10.106.232.47,10.106.232.125,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:17:34,20,16,4,0,304.25,7,0,Low,Normal,Traffic within normal baseline,146.75.122.172,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: Frankfurt am Main, Hesse, DE","ISP/Org: AS54113 Fastly, Inc."
2026-02-08 17:17:49,20,19,1,0,532.85,5,0,Low,Normal,Traffic within normal baseline,10.106.232.125,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:18:04,20,15,5,0,534.5,8,0,Low,Normal,Traffic within normal baseline,10.106.232.47,146.75.122.172,"Location: Frankfurt am Main, Hesse, DE","ISP/Org: AS54113 Fastly, Inc.","Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:18:18,20,13,7,0,268.1,8,1,High,Unknown Anomaly,Traffic pattern deviates from baseline,10.106.232.47,10.106.232.125,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:18:36,20,11,9,0,282.5,9,1,High,Unknown Anomaly,Traffic pattern deviates from baseline,10.106.232.47,146.75.122.172,"Location: Frankfurt am Main, Hesse, DE","ISP/Org: AS54113 Fastly, Inc.","Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:18:50,20,20,0,0,716.15,2,0,Low,Normal,Traffic within normal baseline,10.106.232.47,146.75.122.172,"Location: Frankfurt am Main, Hesse, DE","ISP/Org: AS54113 Fastly, Inc.","Location: N/A, N/A, N/A",ISP/Org: Unknown
2026-02-08 17:19:04,20,20,0,0,652.75,3,0,Low,Normal,Traffic within normal baseline,74.224.107.132,10.106.232.47,"Location: N/A, N/A, N/A",ISP/Org: Unknown,"Location: Chennai, Tamil Nadu, IN",ISP/Org: AS8075 Microsoft Corporation
